iter	Passed	Remaining
566	6904	5272
567	6915	5259
568	6926	5246
569	6937	5233
570	6947	5219
571	6957	5206
572	6968	5192
573	6978	5179
574	6990	5166
575	7000	5153
576	7010	5139
577	7020	5125
578	7030	5112
579	7042	5099
580	7052	5086
581	7064	5073
582	7074	5060
583	7085	5047
584	7101	5038
585	7112	5024
586	7122	5011
587	7133	4998
588	7145	4986
589	7156	4972
590	7167	4960
591	7178	4947
592	7189	4934
593	7200	4921
594	7210	4908
595	7222	4895
596	7232	4882
597	7243	4869
598	7254	4856
599	7265	4843
600	7275	4830
601	7286	4817
602	7296	4804
603	7307	4791
604	7318	4778
605	7329	4765
606	7340	4752
607	7350	4739
608	7361	4726
609	7372	4713
610	7383	4700
611	7394	4688
612	7406	4675
613	7416	4662
614	7428	4650
615	7438	4637
616	7448	4623
617	7458	4610
618	7469	4597
619	7479	4584
620	7490	4571
621	7500	4558
622	7511	4545
623	7521	4532
624	7533	4519
625	7544	4507
626	7554	4494
627	7565	4481
628	7576	4469
629	7588	4456
630	7599	4444
631	7610	4431
632	7622	4419
633	7633	4406
634	7644	4393
635	7654	4380
636	7664	4367
637	7676	4355
638	7686	4342
639	7697	4329
640	7707	4316
641	7717	4303
642	7727	4290
643	7738	4278
644	7750	4265
645	7760	4252
646	7772	4240
647	7783	4228
648	7796	4216
649	7808	4204
650	7819	4192
651	7830	4179
652	7841	4166
653	7852	4154
654	7862	4141
655	7873	4128
656	7884	4116
657	7895	4103
658	7905	4090
659	7916	4078
660	7926	4065
661	7936	4052
662	7947	4039
663	7957	4026
664	7968	4014
665	7980	4002
666	7991	3989
667	8001	3976
668	8012	3964
669	8022	3951
670	8033	3938
671	8045	3926
672	8055	3914
673	8066	3901
674	8078	3889
675	8089	3877
676	8099	3864
677	8111	3852
678	8122	3839
679	8137	3829
680	8147	3816
681	8157	3803
682	8168	3791
683	8178	3778
684	8188	3765
685	8199	3753
686	8209	3740
687	8220	3727
688	8230	3715
689	8242	3703
690	8254	3691
691	8266	3679
692	8277	3666
693	8287	3654
694	8298	3641
695	8309	3629
696	8319	3616
697	8330	3604
698	8340	3591
699	8351	3579
700	8362	3566
701	8373	3554
702	8383	3541
703	8393	3529
704	8405	3517
705	8416	3504
706	8427	3492
707	8437	3479
708	8447	3467
709	8458	3454
710	8470	3442
711	8481	3430
712	8491	3418
713	8502	3405
714	8513	3393
715	8524	3381
716	8535	3369
717	8548	3357
718	8560	3345
719	8572	3333
720	8585	3322
721	8596	3310
722	8607	3297
723	8618	3285
724	8629	3273
725	8640	3260
726	8651	3248
727	8662	3236
728	8673	3224
729	8684	3211
730	8694	3199
